DEBUG:root:Move executed, origin: (3, 1), target: (3, 3)
DEBUG:root:Move executed, origin: (5, 2), target: (3, 2)
DEBUG:root:Move executed, origin: (3, 3), target: (3, 1)
DEBUG:root:Move executed, origin: (3, 0), target: (3, 2)
DEBUG:root:Move executed, origin: (5, 4), target: (5, 2)
DEBUG:root:Move executed, origin: (3, 4), target: (5, 4)
DEBUG:root:Move executed, origin: (6, 2), target: (4, 2)
DEBUG:root:Move executed, origin: (3, 2), target: (5, 2)
DEBUG:root:Move executed, origin: (6, 4), target: (6, 2)
DEBUG:root:Move executed, origin: (6, 2), target: (4, 2)
DEBUG:root:Move executed, origin: (4, 6), target: (4, 4)
DEBUG:root:Move executed, origin: (5, 4), target: (3, 4)
DEBUG:root:Move executed, origin: (2, 5), target: (4, 5)
DEBUG:root:Move executed, origin: (2, 3), target: (2, 5)
DEBUG:root:Move executed, origin: (0, 4), target: (2, 4)
DEBUG:root:Move executed, origin: (0, 2), target: (0, 4)
DEBUG:root:Move executed, origin: (1, 2), target: (1, 4)
DEBUG:root:Move executed, origin: (2, 6), target: (4, 6)
